,BR10,BR2,BR3,BR4,BR5,BR6,BR7,BR9,ER1,ER10,ER11,ER12,ER13,ER14,ER15,ER16,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,JP1,JP2,JP3,JP4,JP5,JP7,JP8,JP9,KB1,KB10,KB2,KB3,KB4,KB5,KB6,KB9,NM3,NM4,NM5,NM6,NM9,PI1,PI2,PI3,PI4,PI5,PI7,PI8,PI9,WR1,WR10,WR2,WR3,WR4,WR5,WR6,WR7,WR8
ASV0038,0,0,64,79,14,0,0,15,72,13,27,0,0,0,0,0,85,60,47,55,55,12,12,17,0,0,0,1382,0,0,0,24,0,0,0,0,0,0,0,0,0,13,0,0,0,24,0,0,7118,21,0,185,13,0,24,0,29,47,74,0,0,0
ASV0039,0,173,1253,26,61,0,6,28,632,36,51,35,49,78,61,30,583,555,364,294,375,27,43,41,6,87,54,339,21,145,8,31,0,193,20,106,60,274,0,11,91,113,41,0,0,16,65,6,121,23,273,82,0,0,27,27,1584,191,581,0,0,56
ASV0040,0,0,0,0,625,0,0,0,0,2363,265,206,215,201,52,63,0,0,0,0,0,737,1411,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,66,946,0,0,0
ASV0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,138,8689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0042,0,307,230,39,29,0,20,0,230,77,87,157,166,157,135,84,265,149,114,128,102,82,89,82,115,1228,92,93,37,47,0,46,0,0,71,99,26,29,0,0,15,48,18,0,0,835,1513,337,84,39,79,20,0,53,17,163,184,221,569,0,0,32
ASV0043,0,0,0,0,110,151,34,0,488,784,311,299,389,318,374,356,487,282,272,561,377,275,501,652,172,0,0,0,0,0,0,0,100,0,71,0,0,48,58,0,0,0,0,195,0,66,36,0,45,56,0,0,0,61,37,0,0,174,117,142,254,73
ASV0044,63,411,1234,128,169,0,109,166,261,25,224,162,223,209,209,226,285,158,129,652,524,42,110,19,146,32,390,144,308,64,49,351,0,102,0,0,56,0,0,0,26,203,11,8,7,57,10,87,50,265,53,0,75,0,390,0,0,35,60,0,0,0
ASV0045,56,20,117,284,206,88,49,0,126,0,14,31,13,50,23,13,137,57,11,66,77,0,0,0,191,20,41,53,66,0,32,21,3085,41,0,66,401,96,134,12,0,47,105,23,0,17,76,148,95,79,0,0,10,0,256,1132,0,16,1007,0,0,0
ASV0046,87,0,0,0,2561,4,0,22,352,59,233,161,657,909,70,50,293,1264,658,35,0,0,52,58,0,0,0,0,0,0,0,0,0,56,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,500,0,0,305,64,8,46,0
ASV0047,101,7,39,5,22,159,42,85,415,116,22,26,25,24,34,44,425,192,212,233,246,149,115,125,666,68,215,379,188,77,33,1550,0,35,7,6,7,19,0,0,51,0,48,0,60,99,67,610,324,85,74,10,940,0,0,0,0,0,0,0,0,39
ASV0048,26,374,120,19,48,0,33,95,33,29,0,0,0,0,11,0,21,10,34,27,22,13,15,31,151,26,333,363,0,438,23,97,95,11,116,508,72,34,931,0,269,0,0,0,0,8,44,21,82,14,248,17,102,70,196,1350,159,163,0,46,1468,60
ASV0049,0,0,152,0,105,0,0,0,122,1208,40,115,41,62,0,47,87,80,106,0,0,153,203,1484,0,0,0,0,41,0,0,0,0,0,0,66,1791,1620,0,0,121,80,0,0,0,0,0,0,0,0,0,0,0,0,110,0,67,220,114,0,0,0
ASV0050,0,583,60,0,56,0,0,0,76,119,306,292,174,155,450,571,81,85,104,224,206,50,130,46,0,0,0,0,58,0,4,230,0,0,0,0,0,0,0,172,0,0,0,0,1857,0,0,0,0,48,0,0,1029,0,57,0,109,22,10,0,0,0
ASV0051,19,80,61,44,136,8,23,81,196,166,429,253,343,293,284,173,203,112,82,182,159,95,179,196,31,20,14,65,94,4,14,55,202,69,137,97,147,133,26,0,21,25,114,19,0,28,71,35,78,106,13,0,23,307,138,85,156,109,781,87,89,86
